seed,epoch,observer,component,base_loss,shadow_loss,loss_improvement,improvement_per_delta_norm,base_validation_loss,shadow_validation_loss,validation_loss_improvement,validation_improvement_per_delta_norm,component_norm,delta_norm
4111,30,random_02,null,0.355237655402924,0.3551400429346473,9.761246827671988e-05,0.037549273276861944,0.42183439210324847,0.4217621488777276,7.22432255208516e-05,0.027790308608878666,0.03762662205521686,0.002599583420882587
4111,30,random_03,visible,0.355237655402924,0.3551468239154035,9.083148752053738e-05,0.03494078581625171,0.42183439210324847,0.4217577109373674,7.6681165881054e-05,0.02949748227545624,0.035038197571583406,0.002599583420882587
4111,30,random_03,null,0.355237655402924,0.35514882944313464,8.882595978937369e-05,0.03416930538786722,0.42183439210324847,0.4217760214400656,5.837066318287176e-05,0.02245385268807965,0.03424019757134335,0.002599583420882587
4111,30,random_04,visible,0.355237655402924,0.355147241140933,9.041426199102309e-05,0.03478028874346585,0.42183439210324847,0.42177600080191585,5.8391301332616496e-05,0.02246179170999329,0.03485460102461141,0.002599583420882587
4111,30,random_04,null,0.355237655402924,0.3551483759437433,8.927945918069113e-05,0.03434375618166536,0.42183439210324847,0.4217573899729959,7.700213025257918e-05,0.029620949892977897,0.03442707083393964,0.002599583420882587
4111,30,random_05,visible,0.355237655402924,0.35514642875329855,9.122664962546434e-05,0.03509279559664675,0.42183439210324847,0.42176220810778003,7.218399546843335e-05,0.027767524168901683,0.035168202079528796,0.002599583420882587
4111,30,random_05,null,0.355237655402924,0.3551491937582825,8.846164464149098e-05,0.03402916172294147,0.42183439210324847,0.4217714188209659,6.297328228255239e-05,0.024224374481189866,0.034106655967470124,0.002599583420882587
4111,30,random_06,visible,0.355237655402924,0.3551469770498257,9.067835309833905e-05,0.0348818785232723,0.42183439210324847,0.42175737151566894,7.702058757952379e-05,0.029628050002478652,0.03496058469949955,0.002599583420882587
4111,30,random_06,null,0.355237655402924,0.35514863801601815,8.901738690586525e-05,0.03424294300032229,0.42183439210324847,0.42177627303223875,5.8119071009721246e-05,0.022357070961003894,0.034319439626238915,0.002599583420882587
4111,30,random_07,visible,0.355237655402924,0.3551530326565741,8.462274634990496e-05,0.03255242577334742,0.42183439210324847,0.4217887462465862,4.5645856662279716e-05,0.01755891205321753,0.032625483814685996,0.002599583420882587
4111,30,random_07,null,0.355237655402924,0.35514282611761827,9.482928530574197e-05,0.03647864674931124,0.42183439210324847,0.4217468844589156,8.750764433285152e-05,0.033662179728451154,0.036546466650657236,0.002599583420882587
4111,30,random_08,visible,0.355237655402924,0.3551490785116976,8.857689122643286e-05,0.034073494435643094,0.42183439210324847,0.4217733123993165,6.10797039319877e-05,0.0234959584067706,0.034154300228218,0.002599583420882587
4111,30,random_08,null,0.355237655402924,0.3551465418332296,9.111356969443429e-05,0.03504929634591231,0.42183439210324847,0.42176032183024786,7.407027300060376e-05,0.028493131786267546,0.035121933242785584,0.002599583420882587
4111,30,random_09,visible,0.355237655402924,0.3551518869708893,8.576843203472739e-05,0.03299314472686092,0.42183439210324847,0.4217936731634736,4.071893977486418e-05,0.015663640353976275,0.033075667871286366,0.002599583420882587
4111,30,random_09,null,0.355237655402924,0.3551439018164444,9.375358647961685e-05,0.03606485013194402,0.42183439210324847,0.4217419717739565,9.242032929196453e-05,0.035551976731943775,0.03613954362825151,0.002599583420882587
4111,30,random_10,visible,0.355237655402924,0.3551512787933037,8.63766096202978e-05,0.03322709666726987,0.42183439210324847,0.4217845018525435,4.9890250704953676e-05,0.019191632899403316,0.033311413694663235,0.002599583420882587
4111,30,random_10,null,0.355237655402924,0.355144468577607,9.318682531700428e-05,0.035846830137640416,0.42183439210324847,0.4217501866603905,8.420544285797638e-05,0.03239189871021247,0.03592236262348208,0.002599583420882587
4111,30,random_11,visible,0.355237655402924,0.3551537868652981,8.386853762593072e-05,0.032262299009991544,0.42183439210324847,0.42177452078323213,5.987132001633588e-05,0.023031120884748877,0.03232701223718306,0.002599583420882587
4111,30,random_11,null,0.355237655402924,0.35514219839279865,9.5457010125366e-05,0.036720118061438205,0.42183439210324847,0.42175963169209163,7.476041115683785e-05,0.02875861207464382,0.0368107416198989,0.002599583420882587
4111,30,random_12,visible,0.355237655402924,0.35516347478027455,7.418062264946679e-05,0.028535580760197975,0.42183439210324847,0.4217681206825787,6.627142066978342e-05,0.02549309252298722,0.028615747100641208,0.002599583420882587
